source_e (MeV)	NPS	det_pulse (MeVee)	det_cell	corr_count	PSD	time (s)	cells_history
1.70965	8426	0.183145	1	no	0.384599	8.11832e-09	4	1
2.44167	8437	0.350708	1	no	0.380498	9.73604e-09	4	1
2.55055	8444	0.295327	1	no	0.365828	9.6057e-09	4	1
2.27797	8447	0.0120216	1	no	0.105178	7.84777e-09	4	1
2.27723	8453	0.338025	1	no	0.336479	8.49932e-09	4	1
2.02172	8585	0.20746	1	no	0.355368	8.02e-09	4	1
2.59553	8628	0.0584546	1	no	0.237937	6.1183e-09	4	1
2.92778	8682	0.0558479	1	no	0.282828	5.53799e-09	4	1
2.39171	8719	0.167991	1	no	0.328856	6.52e-09	4	1
2.56121	8720	0.250664	1	no	0.403073	7.70218e-09	4	1
2.34291	8750	0.258426	1	no	0.368912	6.58227e-09	4	1
2.34004	8857	0.418889	1	no	0.359664	9.9885e-09	4	1
2.96397	8870	0.0183826	1	no	0	1.34513e-08	4	1
2.32934	8872	0.20606	1	no	0.347871	8.01761e-09	4	1
2.61102	8875	0.0653991	1	no	0.339084	6.20644e-09	4	1
2.57475	8920	0.198473	1	no	0.406449	7.66116e-09	4	1
1.59344	8940	0.185771	1	no	0.335079	1.12743e-08	4	1
2.40381	8955	0.0577543	1	no	0.339845	6.35074e-09	4	1
2.40808	8971	0.302271	1	no	0.365661	9.92121e-09	4	1
2.52854	8985	0.412003	1	no	0.375071	7.26662e-09	4	1
2.30602	8987	0.305462	1	no	0.39311	6.54174e-09	4	1
2.11257	9006	0.110548	1	no	0.372339	6.30211e-09	4	1
2.57781	9023	0.250722	1	no	0.390178	1.1757e-08	4	1
2.74749	9034	0.261538	1	no	0.361919	7.04156e-09	4	1
1.83077	9054	0.124632	1	no	0.243952	8.23109e-09	4	1
2.51954	9056	0.410116	1	no	0.370678	7.68598e-09	4	1
2.82231	9101	0.415815	1	no	0.36555	5.45657e-09	4	1
2.97903	9180	0.274941	1	no	0.38135	6.46962e-09	4	1
2.64019	9362	0.236736	1	no	0.321939	9.5516e-09	4	1
1.86141	9397	0.116948	1	no	0.379242	8.45503e-09	4	1
2.53157	9527	0.534261	1	no	0.351065	7.30731e-09	4	1
2.26305	9542	0.109906	1	no	0.363363	9.95713e-09	4	1
2.13182	9580	0.167252	1	no	0.326355	7.73696e-09	4	1
2.66385	9617	0.520294	1	no	0.377912	1.02543e-08	4	1
2.3648	9628	0.115625	1	no	0.34539	8.64249e-09	4	1
1.94986	9629	0.119477	1	no	0.376587	7.29826e-09	4	1
2.60764	9746	0.554025	1	no	0.380043	6.55634e-09	4	1
2.5915	9829	0.222069	1	no	0.403469	6.72896e-09	4	1
2.75365	9845	0.103604	1	no	0.293466	5.81149e-09	4	1
2.62926	9888	0.185712	1	no	0.358961	7.88813e-09	4	1
2.86286	9895	0.0101542	1	no	0	7.04004e-09	4	1
2.19775	9911	0.2501	1	no	0.363071	8.11668e-09	4	1
2.16703	9912	0.00698342	1	no	0	6.78683e-09	4	1
2.43942	9921	0.481389	1	no	0.348689	6.47531e-09	4	1
2.32245	9950	0.4654	1	no	0.364807	8.36321e-09	4	1
2.80054	9993	0.0959783	1	no	0.337049	5.96707e-09	4	1
2.45882	10015	0.4604	1	no	0.370204	6.69967e-09	4	1
2.30415	10091	0.239226	1	no	0.446251	7.00854e-09	4	1
2.4022	10136	0.279337	1	no	0.359262	6.96471e-09	4	1
2.378	10144	0.484016	1	no	0.378547	7.71438e-09	4	1
2.31194	10166	0.368624	1	no	0.362216	5.88555e-09	4	1
1.91344	10177	0.0361621	1	no	0.262507	7.09433e-09	4	1
2.73352	10204	0.276808	1	no	0.450035	7.81006e-09	4	1
2.07628	10235	0.0133444	1	no	0	6.82801e-09	4	1
3.00883	10252	0.246268	1	no	0.337915	8.13018e-09	4	1
2.38048	10261	0.00630259	1	no	0.0987654	8.07714e-09	4	1
2.56663	10307	0.066041	1	no	0.277761	8.51908e-09	4	1
2.06345	10346	0.218159	1	no	0.366652	9.77654e-09	4	1
2.45004	10386	0.157701	1	no	0.374121	6.63896e-09	4	1
2.3924	10414	0.0705151	1	no	0.36	7.67584e-09	4	1
3.04389	10415	0.508195	1	no	0.369301	6.40405e-09	4	1
2.57039	10463	0.032291	1	no	0.234337	9.83175e-09	4	1
2.06981	10490	0.12399	1	no	0.388924	8.44484e-09	4	1
2.18263	10496	0.123951	1	no	0.275895	7.15946e-09	4	1
2.07249	10506	0.0851239	1	no	0.357633	6.77652e-09	4	1
2.37267	10522	0.255741	1	no	0.380011	8.64037e-09	4	1
2.46583	10524	0.168594	1	no	0.338872	7.48004e-09	4	1
2.94215	10536	0.0469387	1	no	0.26896	9.49387e-09	4	1
2.06884	10582	0.290833	1	no	0.423918	8.11498e-09	4	1
3.17343	10587	0.0902788	1	no	0.316096	6.35634e-09	4	1
2.72593	10608	0.241191	1	no	0.376563	6.50309e-09	4	1
1.74828	10635	0.279434	1	no	0.325235	7.10717e-09	4	1
2.88914	10646	0.6636	1	no	0.407487	6.38924e-09	4	1
2.66516	10658	0.16661	1	no	0.36941	7.16043e-09	4	1
2.43443	10667	0.3183	1	no	0.389476	6.13447e-09	4	1
2.14673	10755	0.4469	1	no	0.416906	7.19113e-09	4	1
2.57274	10783	0.406206	1	no	0.364764	8.70026e-09	4	1
2.84588	10829	0.322152	1	no	0.424371	5.58699e-09	4	1
2.18889	10838	0.34567	1	no	0.360495	6.19163e-09	4	1
2.73152	10844	0.398522	1	no	0.400498	7.29955e-09	4	1
2.25774	10847	0.140563	1	no	0.38403	7.09094e-09	4	1
1.98243	10859	0.0234402	1	no	0.107884	1.57364e-08	4	1
2.29535	10878	0.342596	1	no	0.364013	8.8491e-09	4	1
2.13418	10904	0.311784	1	no	0.389194	6.82026e-09	4	1
1.95264	10927	0.230978	1	no	0.338218	6.4886e-09	4	1
2.80027	10973	0.0635122	1	no	0.279632	6.1531e-09	4	1
2.69553	10996	0.116326	1	no	0.376254	6.79177e-09	4	1
2.6108	11006	0.346273	1	no	0.350542	6.08926e-09	4	1
2.22871	11013	0.237339	1	no	0.374723	8.74764e-09	4	1
2.21586	11085	0.159588	1	no	0.385666	7.82445e-09	4	1
2.58107	11087	0.0164373	1	no	0.113609	6.09422e-09	4	1
2.188	11156	0.139844	1	no	0.467242	6.85947e-09	4	1
2.18226	11166	0.0634539	1	no	0.278663	7.82827e-09	4	1
2.17717	11220	0.327229	1	no	0.33795	6.49e-09	4	1
2.88654	11226	0.302174	1	no	0.397258	6.36176e-09	4	1
2.83186	11235	0.269747	1	no	0.416817	6.29609e-09	4	1
2.70706	11254	0.645179	1	no	0.369825	6.62384e-09	4	1
2.46764	11328	0.106813	1	no	0.356584	7.76887e-09	4	1
2.3191	11335	0.348802	1	no	0.368133	8.45646e-09	4	1
2.69629	11342	0.471761	1	no	0.370609	5.65291e-09	4	1
2.75061	11345	0.257103	1	no	0.422713	8.87842e-09	4	1
2.04503	11358	0.161572	1	no	0.401035	1.1346e-08	4	1
2.17805	11375	0.119555	1	no	0.323788	6.44118e-09	4	1
2.01293	11376	0.253251	1	no	0.373761	7.25969e-09	4	1
2.69857	11383	0.505005	1	no	0.34132	5.62366e-09	4	1
2.3438	11397	0.0742694	1	no	0.220534	6.78783e-09	4	1
2.20496	11406	0.302952	1	no	0.358675	7.47154e-09	4	1
2.22499	11416	0.265351	1	no	0.344696	7.2972e-09	4	1
2.25954	11430	0.269864	1	no	0.40049	5.91123e-09	4	1
2.0445	11451	0.188261	1	no	0.346973	6.50179e-09	4	1
2.07248	11466	0.19398	1	no	0.333534	8.9923e-09	4	1
2.29751	11490	0.194096	1	no	0.38635	6.39587e-09	4	1
1.99007	11538	0.214385	1	no	0.346248	8.22259e-09	4	1
2.20134	11552	0.169217	1	no	0.397862	6.64235e-09	4	1
1.95811	11553	0.0355007	1	no	0.302466	8.16553e-09	4	1
2.24848	11613	0.0558674	1	no	0.306058	7.59678e-09	4	1
2.48364	11666	0.0107572	1	no	0	6.08141e-09	4	1
2.13757	11684	0.0685504	1	no	0.341373	1.20505e-08	4	1
2.24914	11755	0.418986	1	no	0.371837	7.45951e-09	4	1
3.19171	11836	0.16661	1	no	0.338821	5.40178e-09	4	1
1.98588	11862	0.238545	1	no	0.391177	7.87294e-09	4	1
2.32598	11916	0.304197	1	no	0.417892	7.23161e-09	4	1
1.60083	11932	0.11512	1	no	0.363805	8.36889e-09	4	1
2.33	11942	0.169781	1	no	0.392415	6.56971e-09	4	1
2.93851	11960	0.019005	1	no	0.0327533	8.97308e-09	4	1
2.37822	12107	0.0476585	1	no	0.252653	6.04313e-09	4	1
2.66063	12114	0.168575	1	no	0.380452	6.30153e-09	4	1
2.57692	12164	0.11438	1	no	0.371259	7.35804e-09	4	1
2.3032	12171	0.195925	1	no	0.340052	6.57675e-09	4	1
2.14463	12184	0.207499	1	no	0.333927	1.30445e-08	4	1
2.19357	12208	0.129067	1	no	0.334288	6.88151e-09	4	1
2.81032	12251	0.517746	1	no	0.383303	6.87602e-09	4	1
2.95338	12310	0.0673249	1	no	0.376481	7.10868e-09	4	1
1.7248	12390	0.299178	1	no	0.363199	9.87236e-09	4	1
2.48425	12482	0.36483	1	no	0.378299	6.217e-09	4	1
2.43369	12588	0.248116	1	no	0.448138	6.17755e-09	4	1
2.65559	12594	0.0139863	1	no	0	7.81763e-09	4	1
2.34516	12617	0.334854	1	no	0.354827	9.43577e-09	4	1
2.34071	12677	0.326587	1	no	0.361963	7.91921e-09	4	1
1.64625	12774	0.216272	1	no	0.358068	9.67204e-09	4	1
2.4121	12790	0.167233	1	no	0.364197	6.81018e-09	4	1
2.21581	12861	0.278792	1	no	0.353265	6.84523e-09	4	1
2.23776	12897	0.2501	1	no	0.365637	8.37179e-09	4	1
2.90687	12953	0.440637	1	no	0.357805	5.39847e-09	4	1
2.4754	12989	0.00762536	1	no	0	6.33393e-09	4	1
2.33361	12998	0.498663	1	no	0.367427	1.09939e-08	4	1
2.24605	13001	0.241852	1	no	0.38623	6.74221e-09	4	1
2.95857	13020	0.455343	1	no	0.340866	9.45067e-09	4	1
2.18774	13056	0.470535	1	no	0.348588	6.37376e-09	4	1
2.53751	13071	0.478802	1	no	0.390509	6.50092e-09	4	1
2.40683	13089	0.0737247	1	no	0.292348	8.49661e-09	4	1
1.44514	13103	0.0819726	1	no	0.293545	8.06789e-09	4	1
2.60876	13161	0.640724	1	no	0.362469	6.91099e-09	4	1
2.68022	13188	0.313865	1	no	0.358599	5.65031e-09	4	1
2.7217	13190	0.0965814	1	no	0.248741	5.86071e-09	4	1
2.12366	13218	0.178126	1	no	0.331222	7.72424e-09	4	1
2.38742	13238	0.398542	1	no	0.407019	5.91354e-09	4	1
2.30825	13292	0.234227	1	no	0.336517	6.94013e-09	4	1
2.34395	13330	0.155211	1	no	0.417346	6.55634e-09	4	1
2.14632	13370	0.0291787	1	no	0.173333	2.10778e-08	4	1
2.93641	13415	0.365998	1	no	0.366303	6.03592e-09	4	1
1.9284	13416	0.374304	1	no	0.390552	9.0265e-09	4	1
2.23181	13418	0.0699315	1	no	0.226426	6.7764e-09	4	1
1.70888	13421	0.110626	1	no	0.343766	9.89948e-09	4	1
